ADD1, ADD, Passed, mjnwlc, (normal case) 349756+ 2387468
SUBU2, SUBU, Passed, mjnwlc, 0x1 - 0xFFFFFFFF
SUBU3, SUBU, Passed, mjnwlc, 0xFFFFFFFF - 0xFFFFFFFE
SUBU4, SUBU, Passed, mjnwlc, 0xFFFFFFFF - 0x1
SUBU5, SUBU, Passed, mjnwlc, 0x80000000 - 0x1
SUBU6, SUBU, Passed, mjnwlc, 0x0 - 0x80000001
SUBU7, SUBU, Passed, mjnwlc, 0x80000000 - 0x7FFFFFFF
XOR1, XOR, Passed, mjnwlc, 0x0 ^ 0x0
XOR2, XOR, Passed, mjnwlc, 0xAAAAAAAA ^ 0x55555555
XOR3, XOR, Passed, mjnwlc, 0xFFFFFFFF ^ 0xFFFF
XORI1, XORI, Passed, mjnwlc, 0x0 ^ 0x0
XORI2, XORI, Passed, mjnwlc, 0xAAAAAAAA & 0x5555
XORI3, XORI, Passed, mjnwlc, 0xFFFFFFFF & 0xFFFF
