ADD1, ADD, Passed, mjnwlc, (normal case) 349756+ 2387468
LHU2, LHU, Passed, mjnwlc, LHU out of bounds
LHU3, LHU, Passed, mjnwlc, LHU from first instruction
LHU4, LHU, Passed, mjnwlc, LHU unaligned
LUI1, LUI, Passed, mjnwlc, 0x0
LUI2, LUI, Passed, mjnwlc, 0xFFFF
LW1, LW, Passed, mjnwlc, Store and load ABCDABCD (-1412584499)
LW2, LW, Passed, mjnwlc, LW out of bounds
LW3, LW, Passed, mjnwlc, LW from first instruction
LW4, LW, Passed, mjnwlc, LW unaligned
LWL1, LWL, Passed, mjnwlc, LWL out of bounds
LWLLWR1, LWLLWR, Passed, mjnwlc, Normal load word
LWLLWR2, LWLLWR, Passed, mjnwlc, Load bytes 1-4
LWLLWR3, LWLLWR, Passed, mjnwlc, Load bytes 2-5
LWLLWR4, LWLLWR, Passed, mjnwlc, Load bytes 3-6
LWR1, LWR, Passed, mjnwlc, LWR out of bounds
MULT1, MULT, Passed, mjnwlc, (Unsigned) 0x7FFFFFFF * 0x31415926 ADDU HI + LO
MULT2, MULT, Passed, mjnwlc, (Signed) 0xFACEBAFF * 0XDADDB0DD ADDU HI + LO
MULT3, MULT, Passed, mjnwlc, (Signed) 14285 * -7142 ADDU HI + LO
MULT4, MULT, Passed, mjnwlc, (Signed) 0XACEDCODE * 0X23 ADDU HI + LO
MULTU1, MULTU, Passed, mjnwlc, (Unsigned) 0x7FFFFFFF * 0x31415926 HI + LO
MULTU2, MULTU, Passed, mjnwlc, (Interpreted Signed) 0xFACEBAFF * 0xDADDB0DD ADDU HI + LO
MULTU3, MULTU, Passed, mjnwlc, (Interpreted Signed) 14285 * -7142 ADDU HI + LO
MULTU4, MULTU, Passed, mjnwlc, (Interpreted Signed) 0xACEDC0DE * 0X23 ADDU HI + LO
OR1, OR, Passed, mjnwlc, 0x0 | 0x0
OR2, OR, Passed, mjnwlc, 0xAAAAAAAA | 0x55555555
OR3, OR, Passed, mjnwlc, 0x0FFFFFFF | 0x0FFFFFFF
ORI1, ORI, Passed, mjnwlc, 0x0 | 0x0
ORI2, ORI, Passed, mjnwlc, 0xAAAAAAAA | 0x5555
ORI3, ORI, Passed, mjnwlc, 0x0FFFFFFF | 0xFFFF
PUTC1, PUTC, Passed, mjnwlc, Putchar XXX
REG1, REG, Passed, mjnwlc, Reading and Writing Registers
SB1, SB, Passed, mjnwlc, Store and load CD (-51)
SB2, SB, Passed, mjnwlc, SB out of bounds
SH1, SH, Passed, mjnwlc, Store and load ABCD (-21555)
SH2, SH, Passed, mjnwlc, SH out of bounds
SH3, SH, Passed, mjnwlc, SH unaligned
SLL1, SLL, Passed, mjnwlc, 0x0 << 16
SLL2, SLL, Passed, mjnwlc, 0xFFFF << 16
SLL3, SLL, Passed, mjnwlc, 0xFFFFFFFF << 16
SLL4, SLL, Passed, mjnwlc, 0xFFFFFFFF << 31
SLLV1, SLLV, Passed, mjnwlc, 0x0 << 16
SLLV2, SLLV, Passed, mjnwlc, 0xFFFF << 16
SLLV3, SLLV, Passed, mjnwlc, 0xFFFFFFFF << 16
SLLV4, SLLV, Passed, mjnwlc, 0xFFFFFFFF << 31
SLLV5, SLLV, Passed, mjnwlc, 0xFFFFFFFF << 10000 (same as shifting by 1 0000)
SLT1, SLT, Passed, mjnwlc, 0xFFFFFFFE < 0xFFFFFFFF
SLT2, SLT, Passed, mjnwlc, 0xFFFFFFFF < 0x80000000
SLT3, SLT, Passed, mjnwlc, 0x7FFFFFFF < 0x80000000
SLT4, SLT, Passed, mjnwlc, 0x7FFFFFFF < 0x7FFFFFFE
SLT5, SLT, Passed, mjnwlc, 0xFFFFFFFF < 0xFFFFFFFF
SLTI1, SLTI, Passed, mjnwlc, 0xFFFFFFFE < 0xFFFF
SLTI2, SLTI, Passed, mjnwlc, 0xFFFFFFFF < 0x8000
SLTI3, SLTI, Passed, mjnwlc, 0x7FFFFFFF < 0xFFFF
SLTI4, SLTI, Passed, mjnwlc, 0x7FFFFFFF < 0x7FFF
SLTI5, SLTI, Passed, mjnwlc, 0x7FFF < 0x7FFF
SLTI6, SLTI, Passed, mjnwlc, 0x7FFE < 0x7FFF
SLTI7, SLTI, Passed, mjnwlc, 0xFFFF < 0xFFFF
SLTIU1, SLTIU, Passed, mjnwlc, 0xFFFFFFFE < 0xFFFF
SLTIU2, SLTIU, Passed, mjnwlc, 0xFFFFFFFF < 0x8000
SLTIU3, SLTIU, Passed, mjnwlc, 0x7FFFFFFF < 0xFFFF
SLTIU4, SLTIU, Passed, mjnwlc, 0x7FFFFFFF < 0x7FFF
SLTIU5, SLTIU, Passed, mjnwlc, 0x7FFF < 0x7FFF
SLTIU6, SLTIU, Passed, mjnwlc, 0x7FFE < 0x7FFF
SLTIU7, SLTIU, Passed, mjnwlc, 0xFFFF < 0xFFFF
SLTU1, SLTU, Passed, mjnwlc, 0xFFFFFFFE < 0xFFFFFFFF
SLTU2, SLTU, Passed, mjnwlc, 0xFFFFFFFF < 0x80000000
SLTU3, SLTU, Passed, mjnwlc, 0x7FFFFFFF < 0x80000000
SLTU4, SLTU, Passed, mjnwlc, 0x7FFFFFFF < 0x7FFFFFFE
SLTU5, SLTU, Passed, mjnwlc, 0xFFFFFFFF < 0xFFFFFFFF
SRA1, SRA, Passed, mjnwlc, 0x8000000 >> 16
SRA2, SRA, Passed, mjnwlc, 0x7FFFFFFF >> 16
SRA3, SRA, Passed, mjnwlc, 0xFFFFFFFF >> 31
SRAV1, SRAV, Passed, mjnwlc, 0x8000000 >> 16
SRAV2, SRAV, Passed, mjnwlc, 0x7FFFFFFF >> 16
SRAV3, SRAV, Passed, mjnwlc, 0xFFFFFFFF >> 32
SRAV4, SRAV, Passed, mjnwlc, 0x7FFF0000 >> 10000 (same as shifting by 16 bits)
SRL1, SRL, Passed, mjnwlc, 0x0 >> 16
SRL2, SRL, Passed, mjnwlc, 0xFFFF0000 >> 16
SRL3, SRL, Passed, mjnwlc, 0xFFFFFFFF >> 16
SRL4, SRL, Passed, mjnwlc, 0xFFFFFFFF >> 31
SRLV1, SRLV, Passed, mjnwlc, 0x0 >> 16
SRLV2, SRLV, Passed, mjnwlc, 0xFFFF0000 >> 16
SRLV3, SRLV, Passed, mjnwlc, 0xFFFFFFFF >> 16
SRLV4, SRLV, Passed, mjnwlc, 0xFFFFFFFF >> 31
SRLV5, SRLV, Passed, mjnwlc, 0xFFFFFFFF >> 10000 (same as shifting 16 bits)
SUB1, SUB, Passed, mjnwlc, 0x1 - 0x2
SUB2, SUB, Passed, mjnwlc, 0x1 - 0xFFFFFFFF
SUB3, SUB, Passed, mjnwlc, 0xFFFFFFFF - 0xFFFFFFFE
SUB4, SUB, Passed, mjnwlc, 0xFFFFFFFF - 0x1
SUB5, SUB, Passed, mjnwlc, 0x80000000 - 0x1
SUB6, SUB, Passed, mjnwlc, 0x0 - 0x80000000
SUB7, SUB, Passed, mjnwlc, 0x80000000 - 0x7FFFFFFF
SUBU1, SUBU, Passed, mjnwlc, 0x2 - 0x1
SUBU2, SUBU, Passed, mjnwlc, 0x1 - 0xFFFFFFFF
SUBU3, SUBU, Passed, mjnwlc, 0xFFFFFFFF - 0xFFFFFFFE
SUBU4, SUBU, Passed, mjnwlc, 0xFFFFFFFF - 0x1
SUBU5, SUBU, Passed, mjnwlc, 0x80000000 - 0x1
SUBU6, SUBU, Passed, mjnwlc, 0x0 - 0x80000001
SUBU7, SUBU, Passed, mjnwlc, 0x80000000 - 0x7FFFFFFF
SW1, SW, Passed, mjnwlc, Store and load ABCDABCD (-1412584499)
SW2, SW, Passed, mjnwlc, SW out of bounds
SW3, SW, Passed, mjnwlc, SW unaligned
XOR1, XOR, Passed, mjnwlc, 0x0 ^ 0x0
XOR2, XOR, Passed, mjnwlc, 0xAAAAAAAA ^ 0x55555555
XOR3, XOR, Passed, mjnwlc, 0xFFFFFFFF ^ 0xFFFF
XORI1, XORI, Passed, mjnwlc, 0x0 ^ 0x0
XORI2, XORI, Passed, mjnwlc, 0xAAAAAAAA & 0x5555
XORI3, XORI, Passed, mjnwlc, 0xFFFFFFFF ^ 0xFFFF
